 ,Legacy Column Name,Current Schema Table,Current Schema Column,Data Type Mapping,Secular Translation Logic,Mapping Type,Source,,
effort_profile,daily_work_hours,fact_encounters_daily,work_hours,Float to Float,Maintains direct measurement of work duration.,direct,1,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,Ordinal (0-100) to Float,Converts religious 'faith' framing to psychological 'radical acceptance' metric.,calculated,1,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,Minutes to Float,Replaces 'prayer' with 'focused reflection' to describe internal contemplation.,calculated,1,,
users,spiritual_practice,dim_users,mindfulness_routine,Boolean/Categorical to Categorical,Shifts from religious practice to secular grounding routines/mindfulness.,calculated,1,,
surrender_profile,surrender_consistency,fact_observations_mental,cognitive_flexibility_index,Ordinal to Float,Maps 'surrender' to the psychological ability to adapt mindset under friction.,calculated,1,,
performance_outcome,balance_index,fact_observations_mental,daily_balance_index,Float to Float,Formula 100 - \,effort - surrender\,applied daily rather than as a static snapshot.,calculated,1
daily_activity_logs,deep_work_hours,fact_encounters_daily,deep_work_hours,Float to Float,Maintains temporal measurement of focused work.,direct,1,,
mental_state,stress_level,fact_observations_mental,stress_level,Ordinal (0-100) to Float,Moves from snapshot to longitudinal daily observation.,stochastic,1,,
mental_state,focus_score,fact_observations_mental,focus_score,Ordinal (0-100) to Float,Moves from snapshot to longitudinal daily observation with random walk variance.,stochastic,1,,
life_events,event_type,fact_clinical_events,event_name,String to String,Maps significant events into a clinical/longitudinal event table.,direct,1,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,float/numeric,Measures psychological ability to accept circumstances outside of control.,stochastic,2,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,float/numeric,"Dedicated minutes spent in deep, internal contemplation.",stochastic,2,,
surrender_profile,spiritual_practice,dim_users,mindfulness_routine,boolean/binary,Binary indicator of a grounding routine.,direct,2,,
surrender_profile,surrender_consistency,fact_observations_mental,cognitive_flexibility_index,float/numeric,Measures adaptability of mindset when facing friction.,stochastic,2,,
effort_profile,effort_score,fact_observations_mental,effort_score,Decimal to Float,Direct transfer of drive metric,Direct,3,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,Integer to Float,Maps religious faith/trust to clinical mindfulness and acceptance,Stochastic,3,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,Integer to Integer,Converts religious ritual duration to secular cognitive reflection time,Direct,3,,
performance_outcome,success_label,fact_observations_mental,success_indicator,Binary to Boolean,Shift from static snapshot to longitudinal event log,Calculated,3,,
users,user_id,dim_users,user_key,String to UUID,Standardization of primary key for star schema,Direct,3,,
behavior_patterns,pattern_id,dim_behavioral_traits,trait_id,Integer to Integer,Extraction from 1:1 lookup into dimensional attribute,Direct,3,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,REAL,Conversion of religious practice duration to secular cognitive focus duration,direct,4,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,REAL,Mapping spiritual trust metric to psychological radical acceptance scale,direct,4,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Ordinal to Continuous (0-100),Ability to accept circumstances outside of one's control,Stochastic,5,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Not in source to Continuous (Minutes),"Dedicated minutes spent in deep, internal contemplation",Direct,5,,
effort_profile,spiritual_practice,fact_observations_mental,mindfulness_routine,Not in source to Binary (0/1),Presence of a daily grounding routine,Direct,5,,
surrender_profile,surrender_consistency,fact_observations_mental,cognitive_flexibility_index,Ordinal to Continuous (0-100),Adaptability of mindset when facing external friction,Stochastic,5,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,float,Religious 'faith' context translated to psychological 'radical acceptance' within ClinicalStateMachine.,stochastic,6,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,float,Religious 'prayer' time duration translated to secular 'focused reflection' time for resilience metrics.,calculated,6,,
surrender_profile,user_id,dim_users,user_id,integer,Direct identifier mapping from static profile snapshot to dimensional user table.,direct,6,,
effort_profile,strain_index,fact_observations_mental,avg_stress_level,float,Static effort strain mapped to longitudinal average stress level tracking.,calculated,6,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Continuous 0-100,Ability to accept circumstances outside of one's control,Stochastic,7,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Continuous (Minutes),"Dedicated minutes spent in deep, internal contemplation",Stochastic,7,,
effort_profile,spiritual_practice,fact_observations_mental,mindfulness_routine,Binary 0/1,Presence of a daily grounding routine,Direct,7,,
surrender_profile,surrender_consistency,fact_observations_mental,cognitive_flexibility_index,Continuous 0-100,Adaptability of mindset when facing external friction,Stochastic,7,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric/Float,Translates religious 'faith' metric into the psychological construct of radical acceptance to neutralize friction.,calculated,8,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Numeric/Duration,Converts prayer duration into secular focused reflection time within the longitudinal clinical state machine.,calculated,8,,
surrender_profile,static_snapshot_id,fact_observations_mental,longitudinal_fact_entry,UUID/String,Shifts from static profile snapshots to longitudinal cohort entries for time-to-burnout survival analysis.,stochastic,8,,
effort_profile,user_id,dim_users,user_id,Integer,Direct mapping of user identifier from legacy profile to dimension table.,direct,8,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,FLOAT to FLOAT,Conversion of religious faith metrics into secular radical acceptance psychological scores.,calculated,9,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,FLOAT to FLOAT,Shifting from religious prayer duration to secular focused reflection time.,calculated,9,,
effort_profile,spiritual_practice,dim_users,mindfulness_routine,INT to INT,Secularized from spiritual practice to mindfulness routine binary indicator.,direct,9,,
surrender_profile,user_id,dim_users,user_id,INT to INT,Direct mapping of primary user identifier to the demographics dimension.,direct,9,,
effort_profile,spiritual_practice,dim_users,mindfulness_routine,"INT CHECK (0, 1)",Secularized from spiritual_practice,Direct,10,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,FLOAT CHECK (0-100),Secularized from faith_score,Stochastic,10,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,FLOAT CHECK (0-60),Secularized from prayer_time,Calculated,10,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Continuous variable (0-100),Ability to accept circumstances outside of one's control.,Stochastic,11,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Continuous variable (0-100),"Minutes spent in deep, internal contemplation.",Stochastic,11,,
effort_profile,spiritual_practice,fact_observations_mental,mindfulness_routine,Binary,Presence of a daily grounding routine (Binary).,Stochastic,11,,
surrender_profile,surrender_consistency,fact_observations_mental,cognitive_flexibility_index,Continuous variable (0-100),Adaptability of mindset when facing external friction.,Stochastic,11,,
users,user_id,dim_users,user_id,INT to INT,No translation needed for primary identifier.,Direct,12,,
users,age,dim_users,age,INT to INT,None,Direct,12,,
effort_profile,daily_work_hours,fact_observations_mental,work_duration_hours,FLOAT to FLOAT,Conversion from static profile to longitudinal fact entry.,Direct,12,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,FLOAT to FLOAT,Religious 'faith' terminology mapped to secular 'radical acceptance' psychological metric.,Stochastic,12,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,FLOAT to FLOAT,Religious 'prayer' activity mapped to secular 'focused reflection' time.,Direct,12,,
surrender_profile,surrender_consistency,fact_observations_mental,acceptance_consistency,FLOAT to FLOAT,Conversion of spiritual surrender to behavioral consistency metric.,Direct,12,,
mental_state,stress_level,fact_observations_mental,stress_index,FLOAT to FLOAT,Snapshot level to longitudinal observation.,Direct,12,,
performance_outcome,balance_index,fact_observations_mental,equilibrium_score,FLOAT to FLOAT,Calculated from \,effort - surrender\,; translated to secular equilibrium.,Calculated,12
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,FLOAT to DECIMAL,Conversion of religious faith metrics into secular psychological acceptance scores.,calculated,13,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,INTEGER to INTEGER,Mapping of time spent in prayer to time spent in secular focused reflection.,direct,13,,
effort_profile,user_id,dim_users,user_id,VARCHAR to UUID,Transition from static snapshot ID to longitudinal dimension key.,direct,13,,
surrender_profile,submission_index,fact_observations_mental,stochastic_resilience_metric,FLOAT to FLOAT,Stochastic estimation of resilience based on historical submission indices.,stochastic,13,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Float to Float,Faith score maps to radical acceptance (psychological openness) based on baseline flexibility and stochastic noise.,stochastic,14,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,Integer to Float,"Prayer time is translated to focused reflection time, calculated as 0.45 of the radical acceptance score.",calculated,14,,
effort_profile,discipline_index,dim_users,baseline_discipline,Numeric to Float,Legacy discipline index maps to the static baseline trait for cognitive capacity.,direct,14,,
effort_profile,daily_effort_hours,fact_encounters_daily,work_hours,Float to Float,Daily effort is refactored into longitudinal work hours based on baseline discipline plus noise.,stochastic,14,,
surrender_profile,openness_index,dim_users,baseline_flexibility,Numeric to Float,Legacy openness is mapped to baseline flexibility traits in the user dimension.,direct,14,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,float/numeric,Religious faith metric converted to secular radical acceptance psychological score,Calculated,15,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,duration/minutes,Religious practice time converted to secular focused reflection duration,Direct,15,,
surrender_profile,submission_index,fact_observations_mental,baseline_flexibility,float/numeric,Spiritual submission trait mapped to psychological cognitive flexibility,Stochastic,15,,
effort_profile,devotion_consistency,fact_observations_mental,baseline_discipline,float/numeric,Consistency in religious devotion mapped to baseline behavioral discipline,Calculated,15,,
effort_profile,spiritual_equilibrium,fact_observations_mental,mean_latent_balance,float/numeric,Spiritual peace/equilibrium mapped to psychological latent balance,Stochastic,15,,
surrender_profile,inner_quiet_practice,fact_observations_mental,mindfulness_routine,boolean/binary,Inner quiet religious practice mapped to secular mindfulness routine,Direct,15,,
user_registry,user_id,dim_users,user_id,integer,Static user identifier migration,Direct,15,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,FLOAT to FLOAT,Conversion of religious faith metrics into cognitive flexibility/radical acceptance scales.,calculated,16,,
surrender_profile,prayer_time,dim_users,focused_reflection_time,INT to INT,Mapping of ritual prayer duration to secular mindfulness or focused reflection timeframes.,direct,16,,
effort_profile,discipline_std,fact_observations_mental,task_discipline_score,FLOAT to FLOAT,Standardized discipline metrics converted to longitudinal task-adherence scores.,stochastic,16,,
surrender_profile,flexibility_std,fact_observations_mental,radical_acceptance_score,FLOAT to FLOAT,Standardized flexibility traits mapped to secular psychological acceptance metrics.,stochastic,16,,
effort_profile (Inferred),faith_score,fact_observations_mental,radical_acceptance_score,Numeric to Numeric,Ability to accept circumstances outside of control (0-100).,Direct,17,,
effort_profile (Inferred),prayer_time,fact_observations_mental,focused_reflection_time,Time/Interval to Numeric,"Minutes spent in deep, internal contemplation.",Direct,17,,
surrender_profile (Inferred),spiritual_practice,fact_observations_mental,mindfulness_routine,Boolean to Boolean,Presence of a daily grounding routine (Binary 0/1).,Direct,17,,
surrender_profile (Inferred),surrender_consistency,fact_observations_mental,cognitive_flexibility_index,Numeric to Numeric,Adaptability of mindset when facing external friction (0-100).,Direct,17,,
surrender_profile,faith_score,FactObservationsMental,radicalAcceptanceScore,float to float,Convert religious surrender/faith metrics to psychological radical acceptance values,calculated,18,,
effort_profile,prayer_time,FactObservationsMental,focusedReflectionTime,float to float,Rebranding devotional prayer time as secular focused reflection or mindfulness duration,direct,18,,
user_profile,user_id,DimUser,userId,int to int,Direct identifier migration for user dimension,direct,18,,
effort_profile,focus_score,FactObservationsMental,focusScore,float to float,Mapping of general concentration effort to clinical focus score,direct,18,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric (0-100),Ability to accept circumstances,Stochastic,19,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Time/Minutes,Minutes spent in deep contemplation,Direct,19,,
surrender_profile,spiritual_practice,fact_observations_mental,mindfulness_routine,Boolean/Presence,Presence of daily grounding routine,Calculated,19,,
surrender_profile,surrender_consistency,fact_observations_mental,cognitive_flexibility_index,Index (0-100),Adaptability of mindset,Stochastic,19,,
user_profile (static),user_id,dim_users,user_id,String/ID,No translation required; identity mapping,Direct,19,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,FLOAT to FLOAT,Translates religious adherence metrics into cognitive flexibility and acceptance scales.,calculated,20,,
surrender_profile,prayer_time,dim_users,focused_reflection_time,INT to INT,Converts time spent in ritual prayer into secular mindfulness or focused reflection duration.,direct,20,,
effort_profile,static_burnout_status,fact_observations_mental,burnout_survival_probability,STRING to FLOAT,Shifts from static snapshot flags to longitudinal Kaplan-Meier survival probability estimates.,stochastic,20,,
surrender_profile,state_category,fact_observations_mental,markov_state_at_risk,STRING to BOOLEAN,Maps categorical states to daily Markov transition probabilities within a 3x3 matrix.,stochastic,20,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric (Float) to Numeric (Float),Relabeling faith-based resilience as secular radical acceptance,Direct,21,,
surrender_profile,prayer_time,dim_users,focused_reflection_time,Integer (Minutes) to Integer (Minutes),Mapping religious prayer duration to secular reflection time,Direct,21,,
effort_profile,state_snapshot,fact_state_transitions,days_in_previous_state,Categorical to Longitudinal Integer,Converting static status into longitudinal dwell time tracking,Calculated,21,,
effort_profile,stability_index,fact_encounters_daily,daily_self_retention_probability,Float to Probability Float,Translating general stability into daily Markov self-loop probabilities,Stochastic,21,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric to Numeric,Conversion of religious faith metrics to secular psychological radical acceptance metrics,Calculated,22,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,Temporal/Duration to Duration,Conversion of religious prayer duration to secular focused reflection time,Direct,22,,
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric (0-100) to Float,Religious 'faith' remapped to psychological 'radical acceptance' metric for longitudinal tracking.,Direct,23,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,Duration to Float (Minutes/Hours),Active 'prayer' sessions translated to secular 'focused reflection' sessions to measure cognitive flexibility.,Direct,23,,
effort_profile,static_resilience_rating,fact_observations_mental,stress_level,Categorical to Float,Conversion of static snapshot ratings into continuous longitudinal stress observations.,Stochastic,23,,
effort_profile,focus_score,fact_observations_mental,focus_score,Float to Float,Maintained for use in calculating latent balance equilibrium.,Direct,23,,
surrender_profile,total_effort_index,fact_observations_mental,latent_balance,Float to Calculated Float,Calculated as 100.0 minus the absolute difference between focus and radical acceptance scores.,Calculated,23,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Numeric/Decimal,Converts ritualistic time tracking into cognitive focus duration metrics.,calculated,24,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric/Decimal,Translates religious adherence or trust into the psychological metric of radical acceptance.,stochastic,24,,
effort_profile,effort_score,fact_observations_mental,focus_score,Numeric/Decimal,Maps general effort output to specific cognitive focus measurement.,direct,24,,
user_registry,user_id,dim_users,user_id,Integer/UUID,Identical identifier mapping from static profile to dimension table.,direct,24,,
state_snapshot,current_state,fact_state_transitions,new_state,String/Enum,Shifts from a static status snapshot to a longitudinal event-based transition entry.,direct,24,,
effort_profile,effort_score,fact_observations_mental,effort_metrics,Numeric to Float,Maintained as effort input for latent state calculation,direct,25,,
surrender_profile,surrender_score,fact_observations_mental,radical_acceptance_score,Numeric to Float,Conversion of surrender (religious/passive) to radical acceptance (secular/psychological),direct,25,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Integer to Interval/Seconds,Translates religious practice into secular cognitive reflection duration,direct,25,,
surrender_profile,faith_score,fact_observations_mental,radical_acceptance_score,Numeric to Float,Maps religious faith metrics to psychological acceptance scales,direct,25,,
effort_profile / surrender_profile,Balance (Static),fact_clinical_events,burnout_event,Formula to Boolean/Sparse Entry,100 - \,effort - acceptance\,used as latent balance state to drive probabilistic hazard sampling,stochastic,25
effort_profile,faith_score,fact_observations_mental,radical_acceptance_score,INTEGER to DECIMAL,Converts subjective spiritual commitment into objective clinical acceptance metric,Calculated,26,,
surrender_profile,prayer_time,fact_observations_mental,focused_reflection_time,INTEGER to INTEGER,Maps duration of religious practice to secular cognitive focus intervals,Direct,26,,
effort_profile,static_user_id,dim_users,user_id,TEXT to TEXT,Normalization of static snapshot ID to dimension member key,Direct,26,,
surrender_profile,submission_index,fact_observations_mental,regulatory_compliance_index,FLOAT to FLOAT,Stochastic translation of behavioral obedience to emotional regulation scale,Stochastic,26,,
effort_profile,prayer_time,fact_observations_mental,focused_reflection_time,Numeric (Float),Converts traditional religious practice duration into secular mindfulness/reflection metric,direct,27,,
surrender_profile,faith_score,dim_users,radical_acceptance_score,Numeric (Int),Translates religious trust/faith into psychological trait of radical acceptance,direct,27,,
daily_activity_logs,activity_duration,fact_observations_mental,activity_duration,Numeric (Interval),Transition from 3NF hub-and-spoke snapshots to longitudinal fact entries,direct,27,,
effort_profile,effort_score,fact_observations_mental,agency_metric,Numeric (Float),Mapping raw effort to a longitudinal agency/willpower observation,calculated,27,,
surrender_profile,surrender_index,fact_observations_mental,letting_go_score,Numeric (Float),Refactoring static profile index into a recurring state observation,stochastic,27,,
Not in source,balance_index,fact_state_transitions,new_state,string,"Tracks when a user's clinical state shifts (e.g., Stable to At-Risk) based on latent balance.",calculated,2,,
Not in source,burnout_prediction,fact_encounters_daily,burnout_event,Hardcoded to Stochastic,Shift from hardcoded formulas to probabilistic binomial events reflecting biological noise.,Stochastic,17,,
surrender_profile,Not in source,fact_clinical_events,event_type,String/Category,Transition from static snapshot to stochastic terminal event identification,Stochastic,22,,
Not in source,Not in source,fact_clinical_events,event_type,string,"Burnout is now a stochastic, emergent event recorded on a specific date.",stochastic,2,,
Not in source,Not in source,fact_clinical_events,burnout_risk,Not in source to Continuous,"max(0.0, (40 - latent_balance) / 100.0)",Calculated,5,,
Not in source,Not in source,fact_encounters_daily,stress_level,Continuous,Modeled as statistical random walks reflecting daily fluctuations,Stochastic,7,,
Not in source,Not in source,fact_clinical_events,burnout_risk,Probabilistic Binomial,"Modeled as max(0.0, (40 - latent_balance) / 100.0)",Calculated,7,,
