env_id,user_id,work_environment,noise_level,family_support,peer_influence,financial_pressure,job_security,work_life_balance,social_pressure,cultural_factor,digital_exposure,internet_usage,community_support,mentor_presence,competition_level,opportunity_index,stress_triggers,growth_opportunities,recorded_at
1,1,Factory,63.2,45.9,100.0,20.1,53.3,86.2,26.7,45.7,8.0,57.9,55.0,0,70.2,78.7,55.6,80.6,2025-06-30
2,2,Hybrid,14.0,28.7,50.8,60.4,76.3,61.0,34.7,74.1,45.0,60.0,33.2,0,54.7,68.6,74.3,55.8,2025-06-30
3,3,Field,46.4,60.9,19.5,13.8,66.0,39.0,49.6,24.7,47.5,88.4,37.2,1,35.8,79.5,57.8,42.4,2025-06-30
4,4,Remote,66.8,44.8,47.6,14.8,50.4,24.2,48.5,33.7,61.2,37.1,59.6,0,84.4,48.1,34.3,66.3,2025-06-30
5,5,Hybrid,81.5,64.8,33.1,50.3,93.8,58.4,18.8,78.6,30.3,18.5,32.5,0,57.8,20.0,33.0,27.0,2025-06-30
6,6,Home,35.3,35.8,51.4,27.4,87.8,35.0,68.1,61.2,31.0,56.6,50.5,1,64.7,50.1,30.7,47.1,2025-06-30
7,7,Office,64.8,36.5,27.7,37.2,63.9,86.4,46.3,40.3,45.1,84.2,43.5,1,41.4,14.3,57.4,21.2,2025-06-30
8,8,Factory,64.8,33.8,3.5,0.0,49.3,60.4,18.3,99.0,25.1,72.2,47.6,0,12.7,47.3,25.1,50.2,2025-06-30
9,9,Home,60.1,63.9,69.4,43.0,66.7,59.1,44.4,97.7,27.7,68.1,57.9,0,26.6,49.5,66.7,51.3,2025-06-30
10,10,Home,37.9,100.0,78.9,37.6,86.2,34.5,59.3,61.9,37.4,53.2,51.0,0,53.5,72.3,38.4,72.3,2025-06-30
11,11,Factory,33.5,63.0,23.4,41.9,55.4,46.6,19.3,31.5,42.6,58.9,42.1,0,53.4,39.9,54.7,35.4,2025-06-30
12,12,Home,64.7,60.6,29.0,21.9,57.5,31.9,48.8,44.0,21.9,59.3,63.1,0,56.9,31.5,63.5,47.5,2025-06-30
