pattern_id,user_id,habit_strength,habit_consistency,procrastination_score,discipline_score,addiction_score,distraction_pattern,focus_pattern,stress_pattern,coping_style,decision_style,thinking_style,learning_style,risk_behavior,emotional_pattern,social_pattern,growth_pattern,stability_index,recorded_at
1,1,43.9,38.2,50.0,43.8,60.7,85.4,22.7,47.1,Problem-focused,Conceptual,Systems,Kinesthetic,16.8,35.4,79.1,41.0,39.4,2025-06-30
2,2,68.1,52.5,56.7,58.4,90.3,60.7,43.1,18.9,Mixed,Behavioral,Linear,Visual,32.3,49.0,57.3,41.9,41.3,2025-06-30
3,3,13.2,37.5,69.8,35.4,75.2,80.7,19.5,69.5,Avoidance,Analytical,Systems,Auditory,18.7,21.0,59.0,48.6,36.7,2025-06-30
4,4,36.2,55.5,76.8,43.5,72.7,68.2,34.8,55.3,Emotion-focused,Analytical,Critical,Reading/Writing,41.2,20.4,35.2,30.4,34.4,2025-06-30
5,5,78.3,86.2,37.8,74.4,47.4,48.4,61.3,8.3,Emotion-focused,Directive,Systems,Kinesthetic,44.1,28.2,43.4,62.7,55.6,2025-06-30
6,6,38.4,50.0,59.2,44.5,98.3,71.8,21.1,50.7,Spiritual,Conceptual,Critical,Visual,47.9,17.5,62.4,27.7,22.3,2025-06-30
7,7,44.1,52.7,55.3,60.3,68.6,45.6,47.3,63.0,Emotion-focused,Behavioral,Lateral,Auditory,68.9,0.0,48.6,35.1,33.7,2025-06-30
8,8,29.6,35.1,69.3,26.2,98.1,84.4,19.0,63.5,Avoidance,Behavioral,Systems,Auditory,28.0,82.3,39.1,31.0,52.6,2025-06-30
9,9,57.6,62.1,47.3,63.1,70.5,60.0,39.9,56.6,Spiritual,Conceptual,Systems,Reading/Writing,31.0,67.3,68.1,46.2,61.8,2025-06-30
10,10,72.8,45.9,67.6,65.9,56.5,49.1,51.5,65.3,Avoidance,Conceptual,Creative,Auditory,26.6,19.6,52.7,48.4,26.1,2025-06-30
11,11,39.4,67.1,31.4,60.0,76.2,77.6,24.8,59.8,Emotion-focused,Directive,Creative,Reading/Writing,58.2,36.7,37.0,49.1,47.9,2025-06-30
12,12,54.9,52.8,54.5,57.5,52.0,61.2,25.6,71.9,Social,Analytical,Systems,Auditory,45.8,20.0,71.5,41.8,27.8,2025-06-30
13,13,32.3,45.5,75.2,29.5,89.3,100.0,2.8,40.1,Spiritual,Intuitive,Lateral,Visual,11.2,64.9,83.8,44.7,57.2,2025-06-30
14,14,62.7,62.4,15.8,73.1,64.2,49.0,40.6,45.6,Emotion-focused,Conceptual,Linear,Kinesthetic,53.2,52.4,60.7,73.1,50.5,2025-06-30
15,15,44.5,25.8,71.3,33.4,71.4,66.3,19.9,87.5,Avoidance,Directive,Lateral,Reading/Writing,52.1,31.6,25.4,17.2,28.3,2025-06-30
16,16,69.2,60.0,53.0,57.7,69.5,60.5,48.8,55.0,Avoidance,Directive,Creative,Kinesthetic,82.4,52.4,62.8,33.6,59.1,2025-06-30
17,17,89.9,72.8,7.2,77.1,49.7,49.6,49.8,71.2,Emotion-focused,Analytical,Lateral,Kinesthetic,82.9,8.7,22.2,49.1,42.8,2025-06-30
18,18,47.7,52.6,57.8,57.9,55.8,53.8,51.5,51.2,Social,Behavioral,Lateral,Visual,71.1,32.7,67.9,40.2,43.6,2025-06-30
19,19,68.5,87.0,23.8,75.5,55.4,45.8,47.2,43.6,Problem-focused,Intuitive,Creative,Auditory,55.4,56.7,37.1,38.1,57.8,2025-06-30
20,20,63.5,50.5,50.9,60.6,50.6,68.4,36.6,82.5,Social,Directive,Systems,Reading/Writing,41.7,31.5,27.6,25.2,49.3,2025-06-30
21,21,63.5,55.9,44.5,57.8,71.5,52.5,46.4,24.4,Mixed,Behavioral,Critical,Reading/Writing,38.0,16.4,59.1,50.2,29.5,2025-06-30
22,22,47.8,43.5,45.3,52.6,78.8,75.0,26.1,55.0,Problem-focused,Directive,Systems,Reading/Writing,17.1,15.8,32.7,42.7,34.4,2025-06-30
23,23,60.6,67.2,36.9,59.4,66.9,39.7,44.9,71.7,Problem-focused,Behavioral,Creative,Kinesthetic,53.5,34.8,51.7,77.9,44.5,2025-06-30
24,24,35.7,46.5,45.5,46.4,76.3,97.1,11.6,63.4,Spiritual,Conceptual,Creative,Auditory,83.3,25.2,58.5,52.3,39.4,2025-06-30
25,25,57.9,65.1,74.5,62.6,60.0,61.5,35.8,42.4,Avoidance,Behavioral,Lateral,Reading/Writing,33.9,18.9,60.6,51.6,38.0,2025-06-30
26,26,59.1,60.9,58.9,57.2,52.7,65.4,33.4,31.9,Mixed,Behavioral,Systems,Reading/Writing,11.4,36.1,52.1,46.6,37.6,2025-06-30
27,27,56.6,66.5,48.2,67.4,61.1,50.3,45.7,41.4,Avoidance,Conceptual,Systems,Reading/Writing,20.5,39.5,92.4,51.0,42.6,2025-06-30
28,28,76.0,62.5,51.9,62.3,55.5,66.3,40.4,33.4,Avoidance,Intuitive,Critical,Reading/Writing,0.0,36.0,37.2,62.1,44.9,2025-06-30
29,29,70.0,62.6,48.2,60.9,78.9,38.9,45.8,46.3,Social,Conceptual,Lateral,Reading/Writing,30.3,24.5,56.6,55.2,50.7,2025-06-30
30,30,55.8,62.6,22.0,77.4,49.2,45.0,59.7,32.1,Emotion-focused,Directive,Creative,Visual,30.6,46.6,69.5,62.0,48.4,2025-06-30
31,31,100.0,86.3,38.6,90.4,30.3,42.9,63.1,57.4,Avoidance,Analytical,Lateral,Auditory,33.1,32.9,67.0,55.1,40.4,2025-06-30
32,32,48.2,62.4,63.3,53.2,93.7,81.3,23.0,45.6,Social,Directive,Linear,Multimodal,54.3,74.9,60.1,44.9,67.9,2025-06-30
33,33,66.5,56.7,33.2,59.5,41.2,64.5,38.5,64.4,Social,Analytical,Systems,Kinesthetic,25.3,48.1,34.6,57.6,48.6,2025-06-30
34,34,28.3,36.4,72.4,44.7,58.5,59.2,41.1,35.1,Avoidance,Directive,Lateral,Multimodal,27.8,45.8,43.2,51.5,39.2,2025-06-30
35,35,52.1,51.0,70.7,46.7,55.0,70.5,37.2,56.9,Emotion-focused,Conceptual,Lateral,Reading/Writing,36.9,57.0,34.7,39.5,54.7,2025-06-30
