outcome_id,user_id,period,effort_score,surrender_score,balance_index,success_score,failure_score,productivity,creativity,leadership,financial_growth,career_growth,relationship_score,health_improvement,happiness_score,burnout_flag,success_label,recorded_at
1,1,Q2-2025,62.9,61.7,98.8,66.0,36.9,32.3,55.1,81.7,34.6,68.0,40.9,30.4,57.0,0,1,2025-12-31
2,2,Q2-2025,83.4,36.0,52.6,42.3,52.0,65.3,88.8,62.6,28.9,42.9,25.1,60.5,58.8,0,0,2025-12-31
3,3,H2-2025,39.6,61.2,78.4,68.1,29.1,17.8,54.9,56.7,42.5,57.7,46.9,36.9,80.9,0,1,2025-12-31
4,4,Q2-2025,46.9,28.0,81.1,62.5,36.0,32.8,59.7,65.9,49.7,68.8,28.0,23.9,52.0,0,0,2025-12-31
5,5,H2-2025,10.5,37.2,73.3,71.8,25.1,23.4,66.1,62.2,42.9,71.8,37.9,39.6,62.9,0,1,2025-12-31
6,6,H2-2025,86.0,4.0,18.0,28.7,65.8,52.9,46.6,40.0,24.0,27.7,17.0,12.1,39.0,1,0,2025-12-31
7,7,Q2-2025,47.3,28.6,81.3,54.0,35.5,55.1,47.6,63.6,27.4,24.7,10.8,50.7,77.7,0,0,2025-12-31
8,8,Q3-2025,64.0,56.7,92.7,60.5,42.8,32.7,16.8,64.4,11.3,66.7,53.6,-4.6,72.1,0,0,2025-12-31
9,9,Q2-2025,16.4,60.0,56.4,48.0,60.0,44.2,28.7,75.8,28.8,43.8,52.8,26.6,41.3,0,0,2025-12-31
10,10,H1-2025,63.6,30.7,67.1,64.3,35.8,71.5,63.5,69.7,49.9,35.9,26.4,49.2,77.2,0,0,2025-12-31
11,11,Q4-2025,78.0,54.7,76.7,58.7,49.7,58.3,72.4,61.1,23.4,48.6,24.1,29.0,61.5,0,0,2025-12-31
12,12,Q3-2025,54.3,18.1,63.8,52.2,54.0,65.7,66.7,62.3,35.9,46.5,32.4,43.2,64.1,1,0,2025-12-31
13,13,Q3-2025,76.8,76.3,99.5,76.7,16.5,25.2,19.0,69.4,39.5,64.6,40.3,64.6,59.7,0,1,2025-12-31
14,14,H2-2025,88.2,82.3,94.1,87.2,15.7,70.3,82.5,74.7,35.3,72.5,47.7,30.6,69.7,0,1,2025-12-31
15,15,Q4-2025,60.5,20.3,59.8,39.2,64.7,23.8,54.2,60.4,-5.8,36.1,24.9,47.0,62.8,0,0,2025-12-31
16,16,H2-2025,38.2,26.4,88.2,57.8,51.7,49.3,65.4,80.7,31.4,47.7,38.2,35.2,58.2,0,0,2025-12-31
17,17,H2-2025,50.2,45.7,95.5,70.0,27.2,45.5,60.4,74.6,72.0,64.0,36.4,18.7,52.3,0,1,2025-12-31
18,18,Q1-2025,75.8,17.6,41.8,41.8,47.5,47.0,62.0,72.8,-4.6,51.1,28.8,70.2,59.3,0,0,2025-12-31
19,19,Q3-2025,52.8,41.5,88.7,66.5,43.5,70.2,83.0,43.4,33.7,53.8,37.8,24.7,56.9,0,1,2025-12-31
20,20,Q1-2025,53.6,32.5,78.9,59.9,44.4,43.2,36.6,71.6,30.4,39.9,26.9,32.3,42.3,0,0,2025-12-31
21,21,H2-2025,81.4,10.6,29.2,38.9,46.0,52.4,68.9,68.2,14.0,31.4,1.1,45.2,62.5,0,0,2025-12-31
22,22,Q3-2025,100.0,16.0,16.0,48.0,57.8,61.3,73.7,39.4,25.2,31.6,17.3,28.7,74.4,0,0,2025-12-31
23,23,Q1-2025,76.6,44.2,67.6,58.1,46.5,57.2,50.5,60.8,60.6,43.2,21.6,26.1,70.2,0,0,2025-12-31
24,24,H1-2025,76.6,53.1,76.5,68.4,17.9,39.7,42.4,76.5,25.0,65.1,20.2,40.9,60.6,1,1,2025-12-31
25,25,Q2-2025,46.7,0.0,53.3,38.4,55.3,42.5,48.0,74.8,25.2,35.7,12.7,38.4,36.5,0,0,2025-12-31
26,26,Q1-2025,62.1,65.3,96.8,91.4,5.4,37.8,51.6,92.4,37.1,65.0,29.4,59.8,62.1,0,1,2025-12-31
27,27,Q1-2025,37.7,27.3,89.6,60.4,43.6,42.4,10.0,63.5,13.3,19.3,10.9,42.5,64.8,0,0,2025-12-31
28,28,Q4-2025,71.4,43.5,72.1,72.6,15.1,66.9,77.9,85.0,26.0,47.3,27.3,27.3,49.8,0,1,2025-12-31
29,29,Q3-2025,72.8,27.1,54.3,51.0,52.5,59.3,60.4,52.0,9.2,35.4,16.6,37.1,82.6,0,0,2025-12-31
30,30,H2-2025,80.0,22.6,42.6,59.4,51.8,77.9,44.1,46.2,23.7,43.0,25.5,34.9,48.4,0,0,2025-12-31
31,31,Q3-2025,37.3,27.2,89.9,82.4,11.3,76.5,20.8,100.0,15.9,74.2,18.2,50.2,73.8,0,1,2025-12-31
32,32,Q1-2025,70.2,43.2,73.0,65.0,44.1,29.9,71.3,43.5,27.4,59.3,45.1,35.4,35.2,0,1,2025-12-31
33,33,H2-2025,87.3,59.0,71.7,43.0,55.6,50.1,71.9,70.3,38.6,37.3,34.8,36.5,75.7,0,0,2025-12-31
34,34,Q4-2025,51.5,39.3,87.8,59.0,40.3,42.4,53.7,59.7,12.4,49.6,31.7,41.1,66.7,0,0,2025-12-31
35,35,Q1-2025,49.5,52.3,97.2,77.9,24.0,33.6,50.9,62.0,66.9,53.8,41.2,18.9,67.0,0,1,2025-12-31
36,36,Q3-2025,63.4,78.4,85.0,68.1,39.7,70.8,60.9,66.9,33.6,63.1,54.9,18.1,73.5,0,1,2025-12-31
37,37,Q2-2025,74.5,36.2,61.7,56.0,60.0,61.7,33.1,64.4,18.1,18.3,31.1,11.5,50.0,0,0,2025-12-31
38,38,Q4-2025,77.4,49.1,71.7,36.3,72.0,43.1,66.9,64.9,23.1,44.4,38.3,18.2,32.6,0,0,2025-12-31
39,39,Q1-2025,28.2,19.5,91.3,72.2,18.5,22.6,19.1,66.4,43.1,63.7,37.5,17.0,48.1,0,1,2025-12-31
40,40,Q2-2025,29.9,44.7,85.2,61.0,37.5,27.2,49.4,63.0,43.7,56.5,17.4,24.2,53.9,0,0,2025-12-31
41,41,Q3-2025,90.8,47.7,56.9,42.0,52.3,46.4,55.2,71.9,30.0,35.8,26.1,11.1,47.9,0,0,2025-12-31
42,42,Q4-2025,87.5,41.9,54.4,38.1,53.6,61.9,55.5,70.3,18.0,46.1,47.4,34.0,84.3,0,0,2025-12-31
43,43,Q2-2025,66.0,45.4,79.4,49.5,46.8,69.6,55.6,82.1,30.1,42.7,30.8,11.1,52.2,0,0,2025-12-31
44,44,Q4-2025,89.1,27.0,37.9,57.4,34.0,64.7,29.3,45.0,23.4,60.4,17.2,22.6,76.3,1,0,2025-12-31
45,45,Q2-2025,70.8,38.2,67.4,70.6,20.7,52.8,57.4,79.9,55.7,58.4,20.3,29.8,62.0,0,1,2025-12-31
46,46,H1-2025,55.1,48.5,93.4,76.3,30.0,85.4,41.8,85.7,15.7,63.6,63.0,49.5,77.6,0,1,2025-12-31
47,47,Q3-2025,82.5,12.4,29.9,46.6,54.4,92.4,100.0,47.5,22.5,38.9,42.6,49.7,44.1,1,0,2025-12-31
