event_id,user_id,event_type,event_date,impact_score,emotional_impact,financial_impact,stress_impact,recovery_time,support_received,lesson_learned,adaptation_score,resilience_score,mindset_shift,behavioral_change,risk_taken,outcome_effect,long_term_effect,recorded_at
1,1,Relocation,2025-07-09,-41.2,43.5,-17.3,26.1,35.0,40.7,66.0,34.9,39.9,74.4,41.3,35.2,10.4,31.4,2025-07-15
2,2,Relocation,2024-04-18,-1.9,0.0,24.0,0.0,1.0,67.2,20.5,44.0,38.4,29.3,39.8,66.0,19.3,22.6,2024-05-23
3,3,Reconciliation,2022-10-30,-45.3,37.0,15.7,35.7,34.0,5.8,65.1,48.2,56.8,43.8,32.4,28.9,-2.4,7.3,2023-01-03
4,4,Recovery,2024-10-04,-22.6,15.4,-20.5,24.9,35.0,41.7,39.7,39.4,37.6,12.8,61.5,40.9,-0.0,13.0,2024-11-02
5,5,Bereavement,2025-04-01,30.0,25.9,-3.0,10.8,28.0,47.8,44.9,43.6,46.1,32.4,47.0,33.1,37.6,46.6,2025-04-22
6,6,Illness,2023-09-08,-24.3,0.0,28.8,11.5,18.0,68.0,31.3,9.2,19.0,32.3,39.8,32.1,-4.6,1.2,2023-11-09
7,7,Bereavement,2023-11-26,12.8,5.9,-22.7,10.9,0.0,73.7,36.5,32.2,48.0,0.0,32.9,73.0,32.1,24.9,2024-02-02
8,8,Illness,2024-01-22,-65.9,76.4,9.9,57.8,40.0,49.7,71.4,37.6,59.9,44.9,31.3,22.0,-28.5,-14.4,2024-03-22
9,9,Illness,2024-02-04,39.2,30.3,-4.9,25.0,50.0,46.6,61.7,57.5,56.7,31.6,27.5,66.7,54.8,41.9,2024-04-20
10,10,Bereavement,2022-12-07,-42.0,39.4,27.2,49.0,20.0,56.2,41.3,14.5,42.4,22.5,68.8,50.2,-16.3,2.9,2023-02-18
11,11,Financial Loss,2023-02-23,18.7,19.4,21.3,20.9,13.0,67.8,42.2,54.1,34.2,31.1,51.5,40.3,54.0,40.5,2023-02-28
12,12,Reconciliation,2024-11-19,-42.9,41.5,0.7,35.4,36.0,41.7,18.1,24.1,24.3,32.5,50.7,48.2,-8.0,-9.6,2025-01-23
13,13,Reconciliation,2022-05-23,-3.6,0.0,-18.8,5.0,31.0,86.3,49.6,71.9,52.9,29.7,75.4,0.8,46.0,49.0,2022-06-04
14,14,Job Change,2024-12-09,27.0,20.5,-0.7,21.1,28.0,74.8,68.4,40.4,47.4,18.1,72.3,43.6,39.4,31.5,2024-12-31
15,15,Promotion,2022-12-04,27.1,20.5,5.1,27.8,28.0,20.3,23.4,38.7,34.6,22.6,58.8,54.6,41.6,42.1,2022-12-26
16,16,Marriage,2023-03-06,-15.9,40.6,51.1,27.7,9.0,71.2,11.7,41.4,72.5,17.2,25.5,81.1,-8.4,10.8,2023-04-03
17,17,Travel,2022-12-14,41.3,46.5,-2.5,37.9,33.0,15.0,45.4,39.0,38.8,26.0,25.3,60.2,28.6,38.0,2022-12-30
18,18,Relocation,2022-12-05,39.7,28.7,-33.8,20.2,46.0,49.5,27.2,56.2,31.2,18.3,72.8,44.6,43.5,50.3,2023-01-03
19,19,Retirement,2022-06-25,-17.7,32.9,12.0,18.6,20.0,58.1,84.5,49.5,53.0,13.3,46.9,68.1,32.1,45.9,2022-08-05
20,20,Layoff,2023-02-05,48.4,50.3,-12.3,9.7,39.0,76.5,50.5,26.5,38.5,43.2,54.1,70.7,36.2,48.8,2023-02-22
21,21,Financial Loss,2025-11-22,-0.4,0.0,-14.3,0.0,0.0,29.4,13.7,27.9,10.2,12.5,78.6,27.1,14.7,13.5,2026-02-18
22,22,Recovery,2023-10-05,26.1,11.1,-33.3,22.7,28.0,50.2,38.3,31.8,28.7,21.7,41.9,36.3,21.4,19.8,2023-12-31
23,23,Layoff,2022-01-05,33.7,47.1,0.7,17.0,14.0,81.1,50.8,50.9,45.8,3.0,60.8,54.1,35.1,41.2,2022-03-14
24,24,Spiritual Awakening,2025-01-29,-12.6,17.7,-12.3,1.4,28.0,38.7,62.2,34.2,39.4,47.9,61.1,78.0,2.8,20.7,2025-02-17
25,25,Layoff,2022-10-03,9.3,9.4,26.5,1.0,1.0,50.1,7.6,24.0,14.9,16.4,30.1,32.3,18.9,14.8,2022-12-05
26,26,Relocation,2025-04-06,16.1,17.3,-37.4,0.0,1.0,55.0,75.3,58.3,39.5,50.2,33.2,30.2,43.3,70.9,2025-04-23
27,27,Job Change,2023-05-24,20.7,36.9,-28.2,23.8,5.0,54.3,34.2,39.8,29.9,15.6,55.7,40.6,32.8,18.7,2023-07-06
28,28,Marriage,2022-09-08,-10.0,9.3,33.9,19.9,13.0,44.2,50.9,36.8,42.1,39.5,78.4,28.0,30.3,21.8,2022-10-30
29,29,Layoff,2023-05-06,25.0,24.2,-8.3,25.2,24.0,35.7,18.7,35.1,47.5,22.5,43.9,55.4,33.5,24.0,2023-06-15
30,30,Relocation,2025-09-13,74.5,64.8,-63.5,42.3,70.0,42.8,43.9,48.3,40.5,54.9,54.6,19.8,44.4,39.3,2025-09-21
31,31,Bereavement,2023-11-30,-10.2,0.0,-12.8,23.0,0.0,62.4,45.8,30.2,38.1,26.2,50.6,28.5,-4.5,24.0,2023-12-03
32,32,Promotion,2023-11-07,-61.2,51.8,24.9,29.5,59.0,85.2,45.6,70.0,63.6,56.5,63.1,66.8,12.0,43.5,2023-12-03
33,33,Investment Win,2025-12-03,16.1,27.6,39.0,26.7,10.0,72.3,40.9,40.9,47.5,59.4,58.4,31.0,31.7,44.1,2025-12-15
34,34,Education Milestone,2025-10-03,5.1,12.6,-25.7,2.3,0.0,0.2,45.5,18.0,43.7,31.1,36.1,29.8,17.7,21.5,2025-12-20
35,35,Accident,2024-08-20,-26.1,15.7,13.2,17.5,16.0,23.6,78.4,42.0,30.6,37.0,46.5,55.3,20.9,37.4,2024-11-04
36,36,Marriage,2025-05-16,23.7,11.5,21.4,29.5,18.0,80.7,49.1,39.1,46.9,57.5,43.7,35.5,44.0,50.0,2025-08-13
37,37,Financial Loss,2025-05-14,-60.3,53.9,-22.7,35.5,68.0,78.1,58.2,36.7,45.6,27.4,26.3,63.5,-9.1,17.1,2025-06-02
38,38,Investment Win,2023-03-03,-14.5,23.1,-49.5,6.2,0.0,21.4,43.9,49.7,23.9,55.7,74.0,23.6,27.2,21.0,2023-03-19
39,39,Financial Loss,2025-02-10,-56.1,38.1,10.8,36.5,19.0,71.6,0.4,38.0,27.7,20.4,70.1,14.4,2.0,1.9,2025-03-09
40,40,Marriage,2022-09-22,-3.2,0.0,9.7,0.0,0.0,34.0,30.5,34.4,28.6,34.4,57.3,27.0,23.5,17.7,2022-12-11
41,41,Layoff,2022-03-23,7.6,13.7,20.5,10.7,7.0,54.5,42.6,45.8,38.6,37.0,27.3,36.6,42.6,28.1,2022-05-07
42,42,Bereavement,2022-04-02,-25.2,23.1,-16.0,10.8,34.0,90.0,51.8,46.1,57.0,54.6,67.3,29.7,14.4,29.5,2022-06-19
43,43,Travel,2023-11-22,34.5,42.3,12.6,46.3,17.0,22.1,37.5,54.0,44.0,57.4,68.7,5.2,47.2,52.8,2024-02-05
44,44,Spiritual Awakening,2022-03-31,44.5,15.0,-27.3,26.0,30.0,59.3,33.3,30.8,49.0,36.2,77.1,47.7,39.1,39.3,2022-06-28
45,45,Layoff,2024-06-25,-46.9,54.4,-37.8,58.1,42.0,64.5,15.2,22.9,27.7,20.5,57.5,58.9,-34.3,-31.0,2024-08-16
46,46,Reconciliation,2023-08-06,-1.4,1.6,10.9,0.0,7.0,8.7,56.7,60.6,65.7,32.1,41.9,26.4,39.6,62.9,2023-10-07
47,47,Relocation,2025-10-08,39.1,41.6,34.4,18.1,30.0,60.2,26.8,44.4,54.7,33.1,68.8,63.1,53.7,59.0,2026-01-02
48,48,Bereavement,2022-03-12,-4.8,0.0,-18.1,8.2,0.0,61.9,43.4,45.4,47.7,38.5,32.2,51.8,25.3,41.2,2022-03-31
