user_id,name,age,gender,country,profession,education_level,marital_status,income_level,health_score,sleep_hours,diet_quality,physical_activity,spiritual_practice,personality_type,introversion_score,discipline_score,risk_tolerance,life_satisfaction,created_at
1,User_000001,55,Male,Morocco,Retired,Bachelor,Married,57412.14,92.1,7.1,70.5,62.2,68.8,INTJ,43.9,43.8,37.3,77.9,2025-12-05
2,User_000002,45,Female,Bangladesh,IT Professional,Higher Secondary,Married,68412.61,97.8,7.6,76.3,61.0,60.4,ISFJ,39.8,58.4,50.4,79.7,2024-04-30
3,User_000003,43,Female,Philippines,Engineer,Master,Married,256048.14,87.6,6.9,59.7,41.5,35.1,ESFP,42.9,35.4,32.7,88.3,2025-09-03
4,User_000004,43,Male,South Africa,Engineer,Higher Secondary,Single,58452.9,95.3,9.0,69.2,36.0,50.7,ISFP,71.9,43.5,50.8,89.0,2025-02-24
5,User_000005,78,Male,China,Doctor,Higher Secondary,Married,16140.53,99.4,9.7,52.1,46.6,43.1,ENFJ,59.0,74.4,31.7,83.3,2025-11-07
6,User_000006,60,Female,Canada,IT Professional,Master,Single,81168.95,91.9,7.1,54.0,36.3,10.7,ISTP,45.4,44.5,44.3,68.1,2025-12-09
7,User_000007,40,Male,Brazil,Nurse,Primary,Single,36774.38,100.0,7.2,69.7,83.6,34.5,ESFP,49.2,60.3,74.3,76.7,2024-01-28
8,User_000008,56,Female,China,Sales,Master,Married,122721.51,100.0,6.4,58.3,27.1,74.8,ESTP,58.8,26.2,21.8,80.6,2024-10-05
9,User_000009,51,Female,China,Athlete,Secondary,Single,43979.73,88.2,7.7,82.4,22.3,46.2,ISFJ,41.8,63.1,51.2,57.0,2024-07-17
10,User_000010,26,Female,India,Researcher,Bachelor,Single,41612.68,100.0,7.7,82.7,82.7,4.2,ENTJ,38.3,65.9,33.7,96.3,2025-06-27
11,User_000011,34,Female,Colombia,Sales,Bachelor,Married,43708.8,100.0,7.9,77.4,29.0,60.3,INFP,66.5,60.0,52.2,74.6,2025-07-09
12,User_000012,52,Female,India,Freelancer,Secondary,Married,82361.73,95.8,7.8,66.5,73.3,15.6,INTP,25.2,57.5,48.3,91.0,2025-04-25
