Table Name,Column Name,Description,Legacy Equivalence,Calculation Logic,Data Type,Domain Category,Source,,
dim_users,user_id,The core patient index containing static identifiers.,users.user_id,Primary key; sequential integer.,Integer,Patient Index,1,,
dim_users,mindfulness_routine,A categorical flag for whether the user engages in grounding routines.,spiritual_practice,Categorical flag based on latent mindfulness traits.,String,Patient Index,1,,
fact_encounters_daily,log_id,"Time-stamped, discrete daily event acting as the central hub for associated data.",daily_activity_logs.log_id,Unique identifier per daily encounter.,Integer,Encounters,1,,
fact_encounters_daily,deep_work_hours,Measures dedicated temporal hours of high-productivity work.,daily_activity_logs.deep_work_hours,Temporal measurement; ordinal scale 0–100 or real hours.,Float,Encounters,1,,
fact_observations_mental,radical_acceptance_score,Measures the psychological ability to accept circumstances outside one's control.,faith_score,Ordinal scale 0–100; secular remapping of faith.,Float,Observations,1,,
fact_observations_mental,focused_reflection_time,"Measures dedicated minutes spent in deep, internal contemplation.",prayer_time,Temporal measurement (minutes) derived from internal states.,Float,Observations,1,,
fact_observations_mental,daily_balance_index,Mathematically generated latent balance score between effort and acceptance.,performance_outcome.balance_index,100 - \,effort - surrender\,,Float,Observations,1
fact_observations_mental,cognitive_flexibility_index,Measures how consistently the user adapts their mindset when faced with friction.,surrender_consistency,Ordinal scale 0–100.,Float,Observations,1,,
fact_clinical_events,event_id,Logs significant life events and their impacts as discrete occurrences.,life_events,Unique ID for stochastic clinical/life events.,Integer,Clinical Events,1,,
dim_behavioral_archetypes,archetype_description,Lookup table detailing stable behavioral tendencies and coping styles.,behavior_patterns,Static mapping of behavioral profiles.,String,Observations,1,,
dim_users,user_id,The core patient index holding static demographic traits.,redundant primary keys,"range(1, NUM_USERS + 1)",integer,Patient Index,2,,
fact_observations_mental,radical_acceptance_score,Measures psychological ability to accept circumstances outside of control.,faith_score,"np.random.normal(daily_surrenderday, 10).clip(0, 100)",float,Observations,2,,
fact_observations_mental,focused_reflection_time,"Dedicated minutes spent in deep, internal contemplation.",prayer_time,"np.random.normal(daily_surrenderday / 20, 2).clip(0, 60)",float,Observations,2,,
dim_users,mindfulness_routine,Binary indicator of a grounding routine.,spiritual_practice,"np.random.choice(2, p=0.3, 0.7)",boolean/integer,Patient Index,2,,
fact_observations_mental,cognitive_flexibility_index,Measures adaptability of mindset when facing friction.,surrender_consistency,0–100 ordinal scale based on daily_surrender,float,Observations,2,,
fact_clinical_events,event_type,Sparse clinical event such as a burnout instance.,static outcome flags,"Stochastic process: binomial(1, (40 - latent_balance) / 100.0)",string,Clinical Events,2,,
users,id,"The unique primary key for the master user table, acting as the hub for all spokes in the architecture.",user_id,None (Primary Key),integer,Patient Index,3,,
surrender_profile,radical_acceptance_score,A secularized clinical metric measuring cognitive flexibility and the absence of a need for absolute control.,faith_score,0–100 ordinal scale mapping,integer,Observations,3,,
surrender_profile,mindfulness_minutes,"Time spent in states of surrender or mindfulness, previously categorized by prayer.",prayer_time,Real-world temporal measurement (minutes/hours),float,Observations,3,,
dim_concept_dictionary,concept_name,Human-readable name for the clinical or behavioral concept.,faith_label,Explicit string identifier for metrics; maps to secularized clinical terms.,TEXT,Patient Index,4,,
dim_users,baseline_discipline,Pre-study assessment of user's consistent effort or discipline.,discipline_score,Real-world temporal measurement normalized to 0–100 ordinal scale.,REAL,Patient Index,4,,
dim_users,baseline_flexibility,Pre-study assessment of user's mental flexibility or surrender capacity.,faith_score,Derived from latent balance scores normalized to 0–100.,REAL,Patient Index,4,,
fact_encounters_daily,work_hours,Total hours spent in deep work or professional tasks per day.,effort_duration,Real-world temporal measurement (deep work hours).,REAL,Encounters,4,,
fact_encounters_daily,screen_time,Total duration of screen usage for the encounter date.,secular_usage_time,Real-world temporal measurement (screen time).,REAL,Encounters,4,,
fact_observations_mental,radical_acceptance_score,Clinical metric measuring the capacity for non-judgmental acceptance.,faith_score,0–100 ordinal scale representing stochastic emergent outcomes.,REAL,Observations,4,,
fact_observations_mental,focus_score,Measurement of attentional focus during the encounter.,concentration_index,0–100 ordinal scale calculation based on effort metrics.,REAL,Observations,4,,
fact_state_transitions,previous_state,The behavioral or clinical state the user is transitioning from.,old_archetype_state,State identified in Markov state transition models.,TEXT,Clinical Events,4,,
fact_clinical_events,severity_score,The intensity or clinical significance of the event.,event_magnitude,0–100 ordinal scale based on clinical event severity.,REAL,Clinical Events,4,,
fact_observations_mental,radical_acceptance_score,Standardized clinical metric representing the ability to accept circumstances outside of one's control.,faith_score,Continuous 0-100 scale derived from legacy religious variable.,Continuous (0-100),Observations,5,,
fact_observations_mental,focused_reflection_time,"Dedicated minutes spent in deep, internal contemplation; velocity of decay serves as a precursor to burnout.",prayer_time,Real-world temporal measurement in minutes.,Real-world temporal (Minutes),Observations,5,,
fact_observations_mental,mindfulness_routine,Presence of a daily grounding routine to ensure clinical validity and interoperability.,spiritual_practice,Binary indicator (0/1).,Binary (0/1),Observations,5,,
fact_observations_mental,cognitive_flexibility_index,Adaptability of mindset when facing external friction; used to calculate latent balance.,surrender_consistency,Continuous 0-100 scale.,Continuous (0-100),Observations,5,,
surrender_vs_effort_ml_features,mean_latent_balance,A secularized clinical metric representing the average latent balance score of a patient over a specific period.,faith_score,Weighted multiplier (25.48%) derived from Random Forest Gini Importance used to scale the standardized feature matrix for Cox PH regression.,float,Observations,6,,
surrender_vs_effort_ml_features,avg_radical_acceptance_score,"A metric measuring the patient's level of radical acceptance, transitioning from religious surrender concepts.",surrender_index,Simultaneous check with focus score < 20.0 to trigger Cognitive Collapse event; also used as a RF multiplier (11.20%).,float,Observations,6,,
surrender_vs_effort_ml_features,avg_stress_level,The average recorded stress level of a patient; values over 85 trigger Acute Friction Shock.,tribulation_magnitude,Single day threshold check (> 85.0) for event classification; RF Multiplier = 0.0619.,float,Observations,6,,
